[0.175s] Invoking command in '/home/giacomo/thesis_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/giacomo/thesis_ws/install/bumper_cars:/home/giacomo/ros2_ws/install/py_pubsub:/home/giacomo/ros2_ws/install/my_robot_controller:/home/giacomo/ros2_ws/install/py_srvcli:/opt/ros/humble /usr/bin/cmake --build /home/giacomo/thesis_ws/build/my_bot -- -j8 -l8
[0.239s] Invoked command in '/home/giacomo/thesis_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/giacomo/thesis_ws/install/bumper_cars:/home/giacomo/ros2_ws/install/py_pubsub:/home/giacomo/ros2_ws/install/my_robot_controller:/home/giacomo/ros2_ws/install/py_srvcli:/opt/ros/humble /usr/bin/cmake --build /home/giacomo/thesis_ws/build/my_bot -- -j8 -l8
[0.311s] Invoking command in '/home/giacomo/thesis_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/giacomo/thesis_ws/install/bumper_cars:/home/giacomo/ros2_ws/install/py_pubsub:/home/giacomo/ros2_ws/install/my_robot_controller:/home/giacomo/ros2_ws/install/py_srvcli:/opt/ros/humble /usr/bin/cmake --install /home/giacomo/thesis_ws/build/my_bot
[0.323s] -- Install configuration: ""
[0.331s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/build/lib/py_pubsub/hello_world.py
[0.331s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/colcon_build.rc
[0.331s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/colcon_command_prefix_setup_py.sh
[0.332s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/colcon_command_prefix_setup_py.sh.env
[0.332s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/install.log
[0.333s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/prefix_override/__pycache__/sitecustomize.cpython-310.pyc
[0.333s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/prefix_override/sitecustomize.py
[0.334s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/py_pubsub.egg-info/PKG-INFO
[0.334s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/py_pubsub.egg-info/SOURCES.txt
[0.334s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/py_pubsub.egg-info/dependency_links.txt
[0.335s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/py_pubsub.egg-info/requires.txt
[0.335s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/py_pubsub.egg-info/top_level.txt
[0.336s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/py_pubsub.egg-info/zip-safe
[0.336s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/gazebo_control.xacro
[0.336s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/hello_world.py
[0.336s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/inertial_macros.xacro
[0.337s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/.colcon_install_layout
[0.337s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/COLCON_IGNORE
[0.337s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/_local_setup_util_ps1.py
[0.337s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/_local_setup_util_sh.py
[0.338s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/local_setup.bash
[0.338s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/local_setup.ps1
[0.338s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/local_setup.sh
[0.338s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/local_setup.zsh
[0.339s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub-0.0.0-py3.10.egg-info/PKG-INFO
[0.339s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub-0.0.0-py3.10.egg-info/SOURCES.txt
[0.339s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub-0.0.0-py3.10.egg-info/dependency_links.txt
[0.339s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub-0.0.0-py3.10.egg-info/requires.txt
[0.339s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub-0.0.0-py3.10.egg-info/top_level.txt
[0.340s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub-0.0.0-py3.10.egg-info/zip-safe
[0.340s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/__init__.py
[0.340s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/__pycache__/__init__.cpython-310.pyc
[0.340s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/__pycache__/hello_world.cpython-310.pyc
[0.340s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/hello_world.py
[0.341s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/ament_index/resource_index/packages/py_pubsub
[0.341s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/colcon-core/packages/py_pubsub
[0.341s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/hook/ament_prefix_path.dsv
[0.341s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/hook/ament_prefix_path.ps1
[0.341s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/hook/ament_prefix_path.sh
[0.342s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/hook/pythonpath.dsv
[0.342s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/hook/pythonpath.ps1
[0.342s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/hook/pythonpath.sh
[0.342s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/package.bash
[0.343s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/package.dsv
[0.343s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/package.ps1
[0.343s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/package.sh
[0.343s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/package.xml
[0.343s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/py_pubsub/share/py_pubsub/package.zsh
[0.344s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/setup.bash
[0.344s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/setup.ps1
[0.344s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/setup.sh
[0.344s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/install/setup.zsh
[0.344s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/COLCON_IGNORE
[0.345s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-55-19/events.log
[0.345s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-55-19/logger_all.log
[0.345s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-55-19/py_pubsub/command.log
[0.345s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-55-19/py_pubsub/stderr.log
[0.346s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-55-19/py_pubsub/stdout.log
[0.346s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-55-19/py_pubsub/stdout_stderr.log
[0.346s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-55-19/py_pubsub/streams.log
[0.346s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-56-00/events.log
[0.346s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-56-00/logger_all.log
[0.347s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-56-00/py_pubsub/command.log
[0.347s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-56-00/py_pubsub/stderr.log
[0.349s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-56-00/py_pubsub/stdout.log
[0.350s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-56-00/py_pubsub/stdout_stderr.log
[0.351s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/build_2023-09-01_14-56-00/py_pubsub/streams.log
[0.352s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest/events.log
[0.352s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest/logger_all.log
[0.353s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest/py_pubsub/command.log
[0.353s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest/py_pubsub/stderr.log
[0.354s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest/py_pubsub/stdout.log
[0.354s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest/py_pubsub/stdout_stderr.log
[0.355s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest/py_pubsub/streams.log
[0.355s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest_build/events.log
[0.355s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest_build/logger_all.log
[0.357s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest_build/py_pubsub/command.log
[0.357s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest_build/py_pubsub/stderr.log
[0.358s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest_build/py_pubsub/stdout.log
[0.358s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest_build/py_pubsub/stdout_stderr.log
[0.358s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/log/latest_build/py_pubsub/streams.log
[0.358s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/package.xml
[0.359s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/py_pubsub/__init__.py
[0.359s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/py_pubsub/hello_world.py
[0.359s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/resource/py_pubsub
[0.359s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/setup.cfg
[0.360s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/setup.py
[0.360s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/test/test_copyright.py
[0.360s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/test/test_flake8.py
[0.361s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/py_pubsub/test/test_pep257.py
[0.361s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.361s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/robot_core.xacro
[0.362s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/launch/launch_sim.launch.py
[0.362s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.362s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/worlds/empty.world
[0.362s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/worlds/obstacle_world.world
[0.363s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.363s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.363s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.364s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.364s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/environment/path.sh
[0.364s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/environment/path.dsv
[0.365s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/local_setup.bash
[0.365s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/local_setup.sh
[0.366s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/local_setup.zsh
[0.366s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/local_setup.dsv
[0.366s] -- Symlinking: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/package.dsv
[0.369s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.369s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.370s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.370s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/package.xml
[0.450s] Invoked command in '/home/giacomo/thesis_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/giacomo/thesis_ws/install/bumper_cars:/home/giacomo/ros2_ws/install/py_pubsub:/home/giacomo/ros2_ws/install/my_robot_controller:/home/giacomo/ros2_ws/install/py_srvcli:/opt/ros/humble /usr/bin/cmake --install /home/giacomo/thesis_ws/build/my_bot
